Student_ID,Date,In_Time,Out_Time
1001,2024-12-01,09:09:00,11:15:00
1001,2024-11-25,09:50:00,11:23:00
1001,2024-10-28,11:41:00,13:40:00
1001,2024-09-19,10:06:00,10:57:00
1001,2024-10-23,09:28:00,10:05:00
1001,2024-02-09,10:25:00,12:53:00
1001,2024-03-17,10:47:00,12:30:00
1001,2024-05-30,09:20:00,10:38:00
1001,2024-06-11,10:14:00,12:19:00
1001,2024-12-22,11:08:00,12:03:00
1001,2024-03-01,11:19:00,11:57:00
1001,2024-09-14,10:04:00,11:28:00
1001,2024-02-05,11:18:00,12:32:00
1001,2024-02-17,09:11:00,11:32:00
1001,2024-12-13,10:26:00,12:18:00
1001,2024-08-14,10:50:00,12:35:00
1001,2024-08-15,10:49:00,11:54:00
1001,2024-06-15,09:07:00,10:39:00
1001,2024-09-18,09:17:00,10:53:00
1001,2024-10-29,09:34:00,11:08:00
1001,2024-02-16,11:14:00,12:07:00
1001,2024-08-27,10:40:00,12:04:00
1001,2024-09-01,11:57:00,14:50:00
1001,2024-10-21,11:21:00,12:23:00
1001,2024-05-31,10:32:00,12:34:00
1001,2024-04-27,10:29:00,13:09:00
1001,2024-09-28,11:51:00,12:32:00
1001,2024-06-14,11:03:00,11:38:00
1001,2024-05-28,11:20:00,13:22:00
1001,2024-08-22,11:48:00,13:06:00
1001,2024-02-17,09:29:00,11:06:00
1001,2024-09-18,10:35:00,12:07:00
1001,2024-12-18,11:18:00,14:13:00
1001,2024-06-03,11:09:00,11:41:00
1001,2024-02-20,10:48:00,13:48:00
1001,2024-05-10,09:21:00,11:14:00
1001,2024-08-13,10:51:00,13:27:00
1001,2024-10-25,09:20:00,11:51:00
1001,2024-05-14,11:39:00,13:40:00
1001,2024-01-16,09:34:00,12:09:00
1001,2024-09-14,11:11:00,13:17:00
1001,2024-07-09,10:11:00,11:43:00
1001,2024-09-09,11:04:00,11:53:00
1001,2024-09-10,11:35:00,12:32:00
1001,2024-05-20,10:25:00,13:22:00
1001,2024-04-26,11:39:00,13:15:00
1001,2024-09-15,10:10:00,10:57:00
1001,2024-10-01,11:30:00,12:49:00
1001,2024-09-24,10:40:00,12:19:00
1001,2024-04-18,09:01:00,11:28:00
1001,2024-02-06,10:48:00,12:07:00
1001,2024-06-05,11:49:00,12:49:00
1001,2024-08-24,11:09:00,13:31:00
1001,2024-04-08,11:26:00,12:18:00
1001,2024-08-03,12:00:00,14:05:00
1001,2024-10-04,09:39:00,10:52:00
1001,2024-10-04,10:49:00,13:25:00
1001,2024-01-14,10:37:00,11:14:00
1001,2024-07-24,10:28:00,12:52:00
1001,2024-09-20,11:39:00,12:13:00
1001,2024-11-02,10:46:00,13:43:00
1001,2024-07-24,09:01:00,11:43:00
1001,2024-05-19,10:48:00,11:39:00
1001,2024-03-20,10:13:00,12:45:00
1001,2024-10-27,11:05:00,13:45:00
1001,2024-07-10,11:11:00,13:04:00
1001,2024-08-26,10:59:00,11:41:00
1001,2024-01-10,09:56:00,10:31:00
1001,2024-04-08,10:41:00,11:22:00
1001,2024-02-15,10:48:00,11:37:00
1002,2024-12-12,11:30:00,13:54:00
1002,2024-03-07,09:26:00,10:05:00
1002,2024-04-25,09:32:00,11:59:00
1002,2024-04-17,11:34:00,12:26:00
1002,2024-02-16,11:38:00,14:18:00
1002,2024-12-27,11:32:00,12:58:00
1002,2024-12-09,11:03:00,14:02:00
1002,2024-11-21,11:29:00,13:54:00
1002,2024-11-07,11:37:00,13:18:00
1002,2024-05-10,11:28:00,13:38:00
1002,2024-10-15,11:29:00,12:02:00
1002,2024-06-22,10:17:00,11:07:00
1002,2024-12-01,11:45:00,14:13:00
1002,2024-01-23,10:56:00,13:29:00
1002,2024-05-04,10:30:00,11:52:00
1002,2024-07-10,09:37:00,12:18:00
1002,2024-02-07,09:15:00,12:08:00
1002,2024-04-28,10:56:00,11:28:00
1002,2024-02-12,11:19:00,12:28:00
1002,2024-02-16,10:43:00,13:31:00
1002,2024-12-02,09:45:00,12:44:00
1002,2024-07-31,09:03:00,11:11:00
1002,2024-04-27,11:48:00,13:44:00
1002,2024-04-25,10:32:00,12:57:00
1002,2024-07-09,10:36:00,12:02:00
1002,2024-08-09,11:55:00,14:21:00
1002,2024-07-24,11:13:00,13:25:00
1002,2024-09-06,11:43:00,13:32:00
1002,2024-05-18,09:04:00,11:23:00
1002,2024-11-02,09:18:00,10:29:00
1002,2024-02-07,10:13:00,11:33:00
1002,2024-07-23,10:39:00,13:37:00
1002,2024-09-08,09:13:00,11:50:00
1002,2024-12-11,11:22:00,12:41:00
1002,2024-08-06,11:47:00,12:41:00
1002,2024-09-05,11:24:00,14:10:00
1002,2024-02-08,09:02:00,09:36:00
1003,2024-04-08,09:26:00,11:40:00
1003,2024-12-17,10:05:00,12:44:00
1003,2024-01-20,09:21:00,11:44:00
1003,2024-06-07,10:28:00,11:52:00
1003,2024-01-10,09:09:00,11:17:00
1003,2024-10-11,09:34:00,11:46:00
1003,2024-03-29,09:49:00,10:27:00
1003,2024-05-06,10:09:00,11:51:00
1003,2024-09-14,09:25:00,10:20:00
1003,2024-06-21,09:52:00,11:50:00
1003,2024-08-29,09:53:00,10:28:00
1003,2024-05-13,11:59:00,13:50:00
1003,2024-09-26,11:02:00,13:07:00
1003,2024-12-18,10:05:00,10:54:00
1003,2024-04-17,10:33:00,11:18:00
1003,2024-06-25,10:09:00,11:17:00
1003,2024-06-14,11:05:00,12:04:00
1003,2024-01-20,11:17:00,13:27:00
1003,2024-10-02,10:17:00,11:45:00
1003,2024-08-30,10:38:00,12:50:00
1003,2024-02-28,10:54:00,13:14:00
1003,2024-02-11,11:46:00,14:40:00
1003,2024-10-15,09:14:00,12:00:00
1003,2024-11-08,10:00:00,11:49:00
1003,2024-12-02,10:19:00,11:46:00
1003,2024-07-01,10:02:00,12:45:00
1003,2024-06-20,10:04:00,10:36:00
1003,2024-09-26,10:49:00,13:11:00
1003,2024-02-17,11:10:00,13:46:00
1003,2024-09-01,09:13:00,09:54:00
1004,2024-01-04,11:43:00,13:39:00
1004,2024-12-26,11:45:00,13:32:00
1004,2024-03-02,09:07:00,10:21:00
1004,2024-08-25,11:08:00,12:05:00
1004,2024-02-14,10:52:00,11:31:00
1004,2024-04-17,11:34:00,12:58:00
1004,2024-08-07,09:43:00,10:52:00
1004,2024-10-31,11:41:00,13:25:00
1004,2024-11-23,09:13:00,11:24:00
1004,2024-05-15,11:45:00,12:50:00
1004,2024-11-06,11:15:00,12:15:00
1004,2024-09-29,09:19:00,09:55:00
1004,2024-11-11,10:54:00,12:16:00
1004,2024-07-14,10:47:00,13:06:00
1004,2024-09-05,11:52:00,12:38:00
1004,2024-12-02,11:06:00,12:26:00
1004,2024-12-06,11:17:00,12:58:00
1004,2024-08-06,10:29:00,12:31:00
1004,2024-05-22,09:34:00,11:19:00
1004,2024-08-22,09:27:00,11:01:00
1004,2024-01-01,11:35:00,12:20:00
1004,2024-12-11,10:58:00,11:49:00
1004,2024-06-07,10:15:00,11:45:00
1004,2024-12-02,11:24:00,13:21:00
